Latitude,Longitude
18.50482,73.84503
18.50442,73.84515
18.50327,73.84536
18.50291,73.84543
18.5026,73.84546
18.50218,73.84551
18.50185,73.84557
18.50124,73.8457
18.50124,73.8457
18.50113,73.84572
18.50111,73.84562
18.50106,73.84552
18.50083,73.84521
18.50061,73.84493
18.50029,73.84451
18.50006,73.84423
18.49976,73.84387
18.49963,73.8437
18.49955,73.84359
18.49949,73.84348
18.49941,73.84333
18.49933,73.8432
18.49877,73.84218
18.49867,73.84202
18.49853,73.84184
18.49783,73.84086
18.49715,73.8399
18.49679,73.83941
18.49619,73.83864
18.49606,73.83849
18.49522,73.83752
18.49501,73.83726
18.49472,73.83696
18.49423,73.83642
18.49395,73.83613
18.49349,73.83557
18.4933,73.83538
18.49315,73.8352
18.49302,73.83508
18.49282,73.83491
18.49273,73.83483
18.49169,73.83383
18.49149,73.83366
18.49145,73.83362
18.49058,73.83276
18.49044,73.83263
18.49014,73.83234
18.49002,73.83222
18.48974,73.83184
18.48936,73.83125
18.48897,73.83062
18.48885,73.83044
18.48869,73.83016
18.48862,73.83004
18.48854,73.82993
18.48845,73.82981
18.48844,73.8298
18.48826,73.82961
18.48779,73.82919
18.48771,73.82911
18.48758,73.82903
18.48737,73.82889
18.48692,73.82861
18.48688,73.82859
18.48671,73.82851
18.48657,73.82845
18.48646,73.82841
18.48639,73.82839
18.48622,73.82834
18.48584,73.82825
18.48548,73.82817
18.48503,73.82807
18.48455,73.82796
18.48409,73.82783
18.48368,73.82771
18.48337,73.8276
18.48306,73.82748
18.4829,73.82737
18.48274,73.82726
18.48261,73.82714
18.48214,73.82672
18.48174,73.82642
18.48141,73.82616
18.48133,73.82609
18.48127,73.82605
18.481,73.82584
18.48069,73.82561
18.48036,73.82535
18.48001,73.82507
18.47982,73.82491
18.47972,73.82483
18.47963,73.82476
18.47952,73.8247
18.47886,73.82439
18.4784,73.82419
18.47813,73.82401
18.47791,73.8239
18.47747,73.82365
18.47717,73.82347
18.47696,73.82336
18.47638,73.8231
18.47631,73.82306
18.47626,73.82304
18.4757,73.82283
18.47527,73.82266
18.4752,73.82263
18.47505,73.82256
18.47489,73.8225
18.47478,73.82245
18.47458,73.82235
18.47425,73.82219
18.4742,73.82216
18.47402,73.82207
18.47346,73.82177
18.47331,73.82169
18.47315,73.82162
18.47277,73.82148
18.47262,73.82143
18.47218,73.82125
18.47167,73.82104
18.47156,73.821
18.47106,73.82082
18.4708,73.82071
18.47003,73.82034
18.46965,73.8202
18.46949,73.82013
18.46938,73.82008
18.46919,73.81997
18.46906,73.81989
18.46892,73.81979
18.46874,73.81964
18.46843,73.81938
18.46818,73.81918
18.46805,73.81908
18.46791,73.81896
18.46751,73.81861
18.46658,73.81761
18.46639,73.81738
18.46622,73.81716
18.46622,73.81716
18.46611,73.81725
18.46603,73.81733
18.46584,73.8175
18.46543,73.81783
18.46533,73.81793
18.46501,73.81823
18.46486,73.81836
18.46439,73.81876
18.4642,73.81893
18.46418,73.81895
18.46401,73.81908
18.464,73.81908
18.46399,73.81908
18.46397,73.81908
18.46392,73.81908
18.46392,73.81908
18.46298,73.81995
18.46287,73.82005
18.46287,73.82005
18.46274,73.82016
18.46262,73.82027
18.46253,73.82037
18.46219,73.82071
18.46198,73.82095
18.46184,73.8211
18.46163,73.82135
18.46149,73.82153
18.46118,73.82193
18.46096,73.82223
18.4607,73.82262
18.46019,73.82337
18.46002,73.82356
18.4599,73.82368
18.45976,73.8238
18.45963,73.8239
18.45942,73.82406
18.45924,73.82419
18.45913,73.82426
18.45695,73.82579
18.45645,73.82614
18.45632,73.82624
18.45612,73.82638
18.45607,73.82642
18.45589,73.82655
18.4557,73.82669
18.45551,73.82684
18.45464,73.82758
18.45282,73.82909
18.45214,73.82965
18.45132,73.83038
18.45109,73.83061
18.45066,73.83113
18.45048,73.83137
18.45014,73.83186
18.44999,73.8321
18.44984,73.83231
18.44968,73.83254
18.44947,73.83281
18.44934,73.83297
18.44909,73.83325
18.44898,73.83337
18.44897,73.83338
18.44896,73.83339
18.44894,73.8334
18.44871,73.83362
18.44825,73.83399
18.44771,73.83437
18.44725,73.83466
18.44716,73.83472
18.44649,73.83517
18.44585,73.83563
18.44486,73.83631
18.44441,73.83666
18.4435,73.8374
18.44347,73.83743
18.44344,73.83745
18.44338,73.8375
18.44309,73.83772
18.44282,73.83794
18.44245,73.83824
18.44173,73.83885
18.44143,73.83908
18.44123,73.83923
18.44103,73.83934
18.4409,73.83941
18.44073,73.83948
18.44052,73.83955
18.44033,73.83962
18.44015,73.83966
18.43992,73.83969
18.43973,73.83971
18.43954,73.83971
18.43935,73.83972
18.43912,73.83971
18.43893,73.83968
18.43875,73.83966
18.43857,73.83961
18.43838,73.83956
18.43813,73.83947
18.43774,73.83931
18.43554,73.83841
18.43504,73.83821
18.43456,73.83802
18.43429,73.83792
18.43415,73.83788
18.434,73.83786
18.4339,73.83785
18.43373,73.83784
18.43347,73.83787
18.43335,73.83789
18.43324,73.83793
18.43309,73.83798
18.43298,73.83804
18.43289,73.83807
18.43281,73.83811
18.43272,73.83817
18.4326,73.83825
18.4325,73.83833
18.43242,73.83841
18.4323,73.83852
18.43218,73.83866
18.43206,73.83882
18.43159,73.83954
18.43149,73.8397
18.43139,73.83986
18.43104,73.84042
18.43087,73.84067
18.43077,73.84078
18.43064,73.84091
18.43055,73.841
18.43042,73.84111
18.43023,73.84126
18.42997,73.84141
18.42981,73.8415
