Latitude,Longitude
13.13557,77.61712
13.1358,77.61721
13.13596,77.61726
13.13614,77.61732
13.13638,77.61738
13.13653,77.61742
13.13672,77.61744
13.13686,77.61745
13.1372,77.61745
13.13755,77.61744
13.13857,77.61741
13.13857,77.61741
13.13863,77.61736
13.13867,77.61733
13.13871,77.61731
13.13875,77.6173
13.1388,77.61729
13.14241,77.61718
13.1429,77.61718
13.14301,77.61718
13.14309,77.61717
13.14324,77.61718
13.14379,77.61723
13.14397,77.61725
13.14433,77.61729
13.14579,77.61747
13.14665,77.61757
13.1472,77.61768
13.14749,77.61778
13.1478,77.61791
13.14851,77.61829
13.14925,77.61868
13.14979,77.61897
13.14979,77.61897
13.15144,77.6198
13.15188,77.62003
13.15188,77.62003
13.15196,77.62007
13.15237,77.62029
13.15237,77.62029
13.15341,77.62089
13.15376,77.62113
13.15486,77.62185
13.15488,77.62187
13.15513,77.62204
13.15566,77.6224
13.15663,77.62302
13.15663,77.62302
13.15683,77.62335
13.15683,77.62335
13.15704,77.62351
13.15771,77.62402
13.15814,77.62435
13.15974,77.6256
13.1603,77.62601
13.16074,77.62633
13.16114,77.62663
13.16154,77.62693
13.16282,77.62792
13.16341,77.62835
13.16388,77.62871
13.16591,77.63016
13.16668,77.63054
13.16897,77.63159
13.17135,77.63272
13.17174,77.63291
13.17238,77.63316
13.17282,77.63336
13.17308,77.63346
13.17331,77.63356
13.17397,77.63385
13.17415,77.63395
13.17435,77.63406
13.17458,77.63421
13.1748,77.63437
13.17505,77.63456
13.17595,77.63526
13.17666,77.63579
13.17702,77.63605
13.17706,77.63608
13.1776,77.63646
13.17817,77.63688
13.1783,77.63698
13.18027,77.63841
13.18043,77.63853
13.18059,77.63864
13.18067,77.6387
13.18125,77.63912
13.18222,77.63982
13.18348,77.64074
13.18352,77.64077
13.18374,77.64093
13.18418,77.64124
13.18441,77.6414
13.18476,77.64165
13.18487,77.64173
13.1852,77.64197
13.18573,77.64235
13.18626,77.64273
13.18665,77.64301
13.18703,77.6433
13.18732,77.64351
13.18846,77.64433
13.18956,77.64512
13.19007,77.6455
13.19046,77.6458
13.19079,77.64607
13.19102,77.64629
13.19126,77.64653
13.19184,77.64719
13.19217,77.64755
13.1925,77.64798
13.19294,77.64854
13.19309,77.64874
13.19327,77.64896
13.19371,77.64944
13.19385,77.64964
13.19409,77.65
13.19433,77.6504
13.19448,77.6507
13.19468,77.65113
13.19488,77.65149
13.19505,77.65175
13.1957,77.65269
13.19617,77.6534
13.19641,77.65378
13.19651,77.65394
13.19668,77.6543
13.19722,77.6552
13.198,77.65638
13.19901,77.65787
13.19933,77.65835
13.19985,77.65918
13.20104,77.66103
13.20133,77.66147
13.20152,77.66178
13.2018,77.66223
13.20227,77.66298
13.20264,77.66356
13.20294,77.66402
13.20312,77.66428
13.20343,77.66472
13.2037,77.66504
13.20404,77.66543
13.20416,77.66556
13.20433,77.66573
13.20464,77.66602
13.20495,77.66631
13.20578,77.66709
13.20578,77.66709
13.20629,77.66758
13.20675,77.66802
13.20679,77.66806
13.20729,77.66852
13.2077,77.6689
13.20834,77.6695
13.20841,77.66958
13.20925,77.67038
13.20998,77.67108
13.21073,77.6718
13.21204,77.67308
13.21239,77.67343
13.21255,77.67358
13.21288,77.6739
13.21332,77.67433
13.21375,77.67477
13.21478,77.67584
13.21496,77.67603
13.21536,77.67643
13.21544,77.67651
13.21568,77.67676
13.21595,77.67702
13.21646,77.67752
13.21721,77.67826
13.21778,77.67881
13.2182,77.67922
13.21874,77.67974
13.21899,77.67997
13.21946,77.68043
13.22052,77.68143
13.22135,77.68222
13.22171,77.68258
13.22227,77.68311
13.22283,77.68366
13.2235,77.68429
13.22413,77.68486
13.22435,77.68507
13.22475,77.68544
13.22504,77.68572
13.22584,77.68651
