Latitude,Longitude
19.12411,72.93855
19.12433,72.93864
19.12585,72.93927
19.12635,72.93947
19.12655,72.93956
19.12684,72.9397
19.12709,72.93984
19.12734,72.93998
19.12826,72.9405
19.13002,72.94157
19.13045,72.94183
19.13529,72.94474
19.1356,72.94494
19.13608,72.94526
19.13676,72.94566
19.13742,72.94605
19.13751,72.94611
19.13771,72.94624
19.13922,72.94716
19.14444,72.95037
19.14479,72.95059
19.15146,72.95469
19.15164,72.9548
19.15164,72.9548
19.15233,72.9553
19.15444,72.95677
19.15448,72.9568
19.15463,72.9569
19.15466,72.95692
19.15467,72.95692
19.1547,72.95695
19.15474,72.95697
19.15476,72.95699
19.15484,72.95705
19.15504,72.95718
19.15748,72.9588
19.15776,72.95899
19.16352,72.96278
19.16472,72.96366
19.16593,72.96453
19.16604,72.96461
19.16608,72.96464
19.16618,72.96471
19.16722,72.96542
19.16826,72.96614
19.16922,72.96677
19.16996,72.96723
19.17032,72.96747
19.17076,72.96767
19.17099,72.96777
19.17136,72.96791
19.17219,72.96816
19.1724,72.96821
19.17263,72.96826
19.17287,72.96829
19.17422,72.96846
19.17447,72.96848
19.17464,72.96847
19.17474,72.96846
19.17485,72.96845
19.17507,72.96839
19.17563,72.96825
19.17569,72.96824
19.17702,72.96789
19.17706,72.96788
19.17719,72.96787
19.17742,72.96782
19.17763,72.96777
19.1778,72.96772
19.1779,72.96768
19.17803,72.96764
19.17827,72.96753
19.17852,72.96743
19.17855,72.96741
19.17897,72.96722
19.17988,72.96677
19.17998,72.96671
19.18057,72.96635
19.1806,72.96634
19.18061,72.96634
19.18067,72.96631
19.18068,72.9663
19.18076,72.96627
19.1811,72.96613
19.18137,72.96601
19.18165,72.96589
19.18247,72.96557
19.18348,72.96525
19.18375,72.96516
19.18494,72.96475
19.18555,72.96453
19.18781,72.96376
19.18813,72.96366
19.18819,72.96363
19.18836,72.96358
19.18845,72.96355
19.18853,72.96353
19.18867,72.96351
19.18873,72.9635
19.18886,72.96348
19.19087,72.96317
19.19118,72.96311
19.19321,72.96281
19.19367,72.96275
19.19478,72.96256
19.19532,72.96246
19.19578,72.9624
19.196,72.96239
19.19601,72.96239
19.1961,72.96238
19.19613,72.96238
19.19628,72.96238
19.19645,72.96239
19.19685,72.96242
19.19696,72.96244
19.19718,72.96248
19.19723,72.96249
19.19738,72.96252
19.1975,72.96256
19.19754,72.96257
19.19763,72.9626
19.19776,72.96264
19.19789,72.96268
19.19819,72.9628
19.1984,72.9629
19.19847,72.96293
19.19861,72.96299
19.19885,72.9631
19.19908,72.96323
19.19927,72.96334
19.19942,72.96344
19.19944,72.96346
19.19952,72.96352
19.19954,72.96353
19.19958,72.96356
19.19964,72.9636
19.19964,72.96361
19.19965,72.96362
19.19974,72.96368
19.19986,72.9638
19.19996,72.96389
19.20018,72.96411
19.20072,72.96468
19.20135,72.96535
19.20201,72.96607
19.2033,72.96745
19.2043,72.96851
19.20451,72.96874
19.20472,72.96896
19.20535,72.96965
19.20758,72.9719
19.20944,72.97381
19.20954,72.97391
19.20954,72.97391
19.21108,72.97556
19.21131,72.97582
19.21138,72.9759
19.21138,72.9759
19.21153,72.97603
19.21167,72.97616
19.21172,72.9762
19.21176,72.97624
19.21184,72.97631
19.21191,72.97639
19.21203,72.97652
19.21239,72.97689
19.21256,72.97706
19.21264,72.97714
19.21272,72.97721
19.21282,72.97726
19.21292,72.97732
19.21346,72.97747
19.21408,72.97766
19.21418,72.97769
19.21429,72.97771
19.2144,72.97773
19.2145,72.97774
19.21461,72.97775
19.21507,72.97778
19.21519,72.97779
19.21535,72.9778
19.21548,72.97781
19.21562,72.97785
19.21683,72.97813
19.21699,72.97816
19.21712,72.97817
19.21725,72.97818
19.21739,72.97817
19.21781,72.97813
19.21822,72.97808
19.21923,72.97796
19.22037,72.97782
19.22037,72.97782
19.22077,72.97776
19.22285,72.9775
19.22285,72.9775
19.22334,72.97745
19.22512,72.97725
19.22564,72.9772
19.22849,72.97686
19.23051,72.97662
