Latitude,Longitude
18.906200,73.19117
18.905260,73.1929
18.902730,73.19752
18.902390,73.19813
18.901710,73.19938
18.901460,73.19984
18.901250,73.20021
18.900990,73.20064
18.900830,73.20088
18.900650,73.20112
18.900500,73.20131
18.900330,73.20151
18.900090,73.20175
18.899900,73.20193
18.899610,73.20218
18.899460,73.20229
18.899310,73.20239
18.898990,73.20259
18.898850,73.20267
18.898500,73.20285
18.898310,73.20293
18.897860,73.20311
18.897440,73.20326
18.896770,73.20347
18.896530,73.20356
18.895680,73.20382
18.895300,73.20395
18.894980,73.20407
18.894770,73.20416
18.894390,73.20433
18.894010,73.20451
18.893370,73.20487
18.891830,73.20576
18.890280,73.20664
18.888010,73.20794
18.885980,73.20907
18.884180,73.2101
18.884170,73.2101
18.883990,73.21021
18.881730,73.21151
18.880200,73.21239
18.877700,73.21382
18.877310,73.21405
18.877170,73.21413
18.877040,73.2142
18.875940,73.21483
18.872750,73.21664
18.871410,73.2174
18.870390,73.21798
18.867890,73.2194
18.867320,73.21973
18.865830,73.22057
18.865120,73.22098
18.863890,73.22169
18.863810,73.22173
18.863720,73.22178
18.863590,73.22186
18.862650,73.22241
18.862360,73.22258
18.860690,73.22353
18.860250,73.22377
18.859820,73.22402
18.859360,73.22428
18.856520,73.22588
18.855010,73.22674
18.854090,73.22727
18.853820,73.22742
18.853240,73.22775
18.852620,73.22811
18.850740,73.22917
18.850490,73.22932
18.850240,73.22946
18.849690,73.22977
18.849500,73.22988
18.849270,73.23001
18.848700,73.23035
18.848500,73.2305
18.848150,73.23075
18.847870,73.23099
18.847630,73.23121
18.847390,73.23147
18.847230,73.23164
18.846950,73.23198
18.846590,73.23244
18.845680,73.23367
18.845030,73.23454
18.844770,73.23488
18.843910,73.23611
18.843050,73.23734
18.842710,73.23781
18.842420,73.23818
18.841460,73.23938
18.841070,73.23987
18.840750,73.24026
18.840160,73.24094
18.839670,73.24153
18.839390,73.24188
18.839140,73.2422
18.838820,73.24263
18.838230,73.24342
18.838210,73.24344
18.838140,73.24353
18.838140,73.24354
